"apt_nm","sgg_cd","umd_cd","land_cd","bonbun","bubun","road_nm","road_nm_sgg_cd","road_nm_cd","road_nm_seq","road_nmb_cd","road_nm_bonbun","road_nm_bubun","umd_nm","jibun","exclu_use_ar","deal_year","deal_month","deal_day","deal_amount","floor","build_year","apt_seq","cdeal_type","cdeal_day","dealing_gbn","estate_agent_sgg_nm","rgst_date","apt_dong","sler_gbn","buyer_gbn","land_leasehold_gbn"
관저더샵2,"30170","11600","1","1982","0000",구봉산북로,"30170","3166058","00","0","00052","00000",,"1982","84.8064","2025","1","16","50,500","15","2019","30170-1159", , ,중개거래,대전 서구, , ,,개인,N
상록수,"30170","12800","1","0281","0000",만년남로,"30170","3166024","01","0","00008","00000",,"281","59.88","2025","1","2","20,400","1","1995","30170-121", , ,중개거래,대전 서구, , ,,개인,N
스카이빌,"30170","11200","1","1094","0000",갈마역로,"30170","3166005","02","0","00016","00000",,"1094","30.075","2025","1","15","5,750","9","2003","30170-89", , ,중개거래,대전 서구, , ,,개인,N
구봉마을주공7,"30170","11600","1","1144","0000",관저로,"30170","3166008","01","0","00048","00000",,"1144","49.63","2025","1","6","15,500","22","1999","30170-112", , ,중개거래,대전 서구, , ,,개인,N
도안18단지린풀하우스,"30170","11500","1","1564","0000",도안동로,"30170","3166054","01","0","00077","00000",,"1564","70.143","2025","1","10","51,000","12","2014","30170-1101", , ,중개거래,대전 서구, , ,,개인,N
관저더샵2,"30170","11600","1","1982","0000",구봉산북로,"30170","3166058","00","0","00052","00000",,"1982","74.9794","2025","1","15","45,700","13","2019","30170-1159", , ,중개거래,대전 서구, , ,,개인,N
구봉마을주공7,"30170","11600","1","1144","0000",관저로,"30170","3166008","01","0","00048","00000",,"1144","49.63","2025","1","13","13,500","3","1999","30170-112", , ,중개거래,대전 서구, , ,,개인,N
경성큰마을,"30170","11100","1","1418","0000",대덕대로,"30170","2010001","03","0","00150","00000",,"1418","59.9","2025","1","4","28,000","14","1995","30170-61", , ,중개거래,대전 서구, , ,,개인,N
중흥S-클래스프라디움,"30170","11600","1","1566","0000",관저남로12번길,"30170","4709119","01","0","00012","00000",,"1566","47.5144","2025","1","10","23,600","3","2016","30170-1117", , ,중개거래,대전 서구, , ,,개인,N
느리울마을11단지,"30170","11600","1","1422","0000",관저동로90번길,"30170","4298100","01","0","00047","00000",,"1422","65.67","2025","1","14","29,450","17","2004","30170-167", , ,중개거래,대전 서구, , ,,개인,N
탑스빌,"30170","10600","1","0675","0000",문정로2번길,"30170","4298365","01","0","00113","00000",,"675","59.435","2025","1","13","19,000","9","2003","30170-135", , ,중개거래,대전 서구, , ,,개인,N
도마e편한세상포레나,"30170","10300","1","0584","0000",도산로,"30170","3166016","00",,"00008","00000",,"584","74.5251","2025","1","14","48,850","14","2022","30170-1220", , ,중개거래,대전 서구, , ,,개인,N
한우리,"30170","10600","1","0765","0000",문정로90번길,"30170","4298370","01","0","00060","00000",,"765","84.72","2025","1","11","44,500","9","1994","30170-42", , ,중개거래,대전 서구, , ,,개인,N
도마e편한세상포레나,"30170","10300","1","0584","0000",도산로,"30170","3166016","00",,"00008","00000",,"584","59.624","2025","1","11","38,900","7","2022","30170-1220", , ,중개거래,대전 서구, , ,,개인,N
누리,"30170","11300","1","0301","0000",청사로,"30170","3166051","02","0","00070","00000",,"301","101.88","2025","1","7","64,000","5","1994","30170-93", , ,중개거래,대전 서구, , ,,개인,N
엘드수목토,"30170","11500","1","1364","0000",도안동로,"30170","3166054","02","0","00177","00000",,"1364","84.9818","2025","1","2","49,000","6","2010","30170-1039", , ,중개거래,대전 서구, , ,,개인,N
경성큰마을,"30170","11100","1","1418","0000",대덕대로,"30170","2010001","03","0","00150","00000",,"1418","84.94","2025","1","11","38,000","13","1995","30170-61", , ,중개거래,대전 서구, , ,,개인,N
삼성래미안1,"30170","10900","1","0055","0000",가장로,"30170","3166003","02","0","00106","00000",,"55","141.23","2025","1","10","53,000","22","2002","30170-124", , ,중개거래,대전 서구, , ,,개인,N
구봉마을주공7,"30170","11600","1","1144","0000",관저로,"30170","3166008","01","0","00048","00000",,"1144","59.65","2025","1","14","18,500","5","1999","30170-112", , ,직거래, , , ,,개인,N
초원,"30170","12800","1","0001","0001",만년로,"30170","3166025","01","0","00045","00000",,"1-1","59.89","2025","1","13","28,200","3","1993","30170-123", , ,중개거래,대전 서구, , ,,개인,N
관저지구효성해링턴플레이스,"30170","11600","1","1595","0000",관저동로,"30170","3166007","02","0","00012","00000",,"1595","84.8694","2025","1","4","46,500","19","2016","30170-1114", , ,중개거래,대전 서구, , ,,개인,N
보라2차,"30170","11200","1","1812","0000",둔산로,"30170","3166019","01","0","00241","00000",,"1812","46.86","2025","1","11","21,800","5","1991","30170-49", , ,중개거래,대전 서구, , ,,법인,N
보라2차,"30170","11200","1","1812","0000",둔산로,"30170","3166019","01","0","00241","00000",,"1812","46.86","2025","1","11","23,500","15","1991","30170-49", , ,중개거래,대전 서구, , ,,개인,N
관저어반힐스,"30170","11600","1","1593","0000",관저남로,"30170","3166053","00","0","00080","00000",,"1593","59.98","2025","1","4","31,900","22","2017","30170-1138", , ,중개거래,대전 서구, , ,,개인,N
맑은아침,"30170","11000","1","0002","0000",갈마로,"30170","3166004","03","0","00262","00000",,"2","84.8879","2025","1","11","40,500","21","2004","30170-151", , ,중개거래,대전 서구, , ,,개인,N
이노빌,"30170","11200","1","1117","0000",대덕대로175번길,"30170","4298168","01","0","00046","00000",,"1117","25.2","2025","1","2","4,900","3","2002","30170-92", , ,직거래, ,"25.01.13", ,,개인,N
대자연마을,"30170","11600","1","0990","0000",관저북로,"30170","3166009","01","0","00052","00000",,"990","92.78","2025","1","9","39,000","4","1998","30170-114", , ,중개거래,대전 서구, , ,,개인,N
샘머리1차,"30170","11200","1","0907","0000",문예로,"30170","3166026","02","0","00174","00000",,"907","59.802","2025","1","8","34,500","6","1998","30170-76", , ,중개거래,대전 서구, , ,,개인,N
경성큰마을,"30170","11100","1","1418","0000",대덕대로,"30170","2010001","03","0","00150","00000",,"1418","84.94","2025","1","7","37,000","6","1995","30170-61", , ,중개거래,대전 서구, , ,,개인,N
은아3단지,"30170","11400","1","0762","0000",가수원로,"30170","3166001","01","0","00106","00000",,"762","82.26","2025","1","12","25,500","10","1990","30170-109", , ,중개거래,대전 서구, , ,,개인,N
월평타운,"30170","11300","1","0018","0002",계룡로264번길,"30170","4298047","01","0","00004","00000",,"18-2","59.74","2025","1","5","17,800","11","1994","30170-99", , ,중개거래,대전 서구, , ,,개인,N
월평타운,"30170","11300","1","0018","0002",계룡로264번길,"30170","4298047","01","0","00004","00000",,"18-2","84.895","2025","1","5","22,700","5","1994","30170-99", , ,중개거래,대전 서구, , ,,개인,N
샘머리2차,"30170","11200","1","0908","0000",청사로,"30170","3166051","01","0","00281","00000",,"908","84.945","2025","1","8","44,000","19","1998","30170-168", , ,중개거래,대전 서구, , ,,개인,N
광도푸른,"30170","11100","1","0404","0002",갈마로117번길,"30170","4298013","01","0","00023","00000",,"404-2","43.2675","2025","1","2","9,250","6","1998","30170-158", , ,직거래, , , ,,개인,N
우성,"30170","10400","1","0584","0000",정림로,"30170","3166049","01","0","00055","00000",,"584","59.69","2025","1","13","15,000","3","1993","30170-25", , ,직거래, , , ,,개인,N
탑스빌,"30170","11000","1","0017","0001",도산로253번길,"30170","4298234","01","0","00075","00000",,"17-1","40.5672","2025","1","10","9,500","1","2001","30170-152", , ,직거래, , , ,,개인,N
관저어반힐스,"30170","11600","1","1593","0000",관저남로,"30170","3166053","00","0","00080","00000",,"1593","59.98","2025","1","12","33,200","21","2017","30170-1138", , ,중개거래,대전 서구, , ,,개인,N
도마e편한세상포레나,"30170","10300","1","0584","0000",도산로,"30170","3166016","00",,"00008","00000",,"584","74.5251","2025","1","12","49,300","18","2022","30170-1220", , ,중개거래,대전 서구, , ,,개인,N
맑은아침,"30170","11000","1","0002","0000",갈마로,"30170","3166004","03","0","00262","00000",,"2","84.8879","2025","1","10","40,500","21","2004","30170-151",O,"25.01.13",중개거래,대전 서구, , ,,개인,N
구봉마을5,"30170","11600","1","1137","0000",관저로,"30170","3166008","01","0","00051","00000",,"1137","84.71","2025","1","11","29,000","17","2000","30170-110", , ,중개거래,대전 서구, , ,,개인,N
한우리,"30170","10600","1","0765","0000",문정로90번길,"30170","4298370","01","0","00060","00000",,"765","84.72","2025","1","11","44,500","9","1994","30170-42",O,"25.01.11",중개거래,대전 서구, , ,,개인,N
한우리,"30170","10600","1","0765","0000",문정로90번길,"30170","4298370","01","0","00060","00000",,"765","84.72","2025","1","11","44,500","9","1994","30170-42",O,"25.01.14",중개거래,대전 서구, , ,,개인,N
리베라스위트빌,"30170","11200","1","1093","0000",갈마역로,"30170","3166005","02","0","00022","00000",,"1093","38.6075","2025","1","11","7,700","7","2003","30170-134", , ,중개거래,대전 서구, , ,,개인,N
경남5차,"30170","10300","1","0214","0000",배재로,"30170","3166028","00","0","00139","00065",,"214","72.43","2025","1","10","15,700","1","1990","30170-7", , ,중개거래,대전 서구, , ,,개인,N
엘드수목토,"30170","11500","1","1364","0000",도안동로,"30170","3166054","02","0","00177","00000",,"1364","84.9967","2025","1","8","49,000","6","2010","30170-1039", , ,중개거래,대전 서구, , ,,개인,N
한가람,"30170","10600","1","0834","0000",문예로,"30170","3166026","01","0","00016","00000",,"834","39.6","2025","1","6","25,000","8","1991","30170-41", , ,중개거래,대전 서구, , ,,개인,N
네스트빌,"30170","10600","1","0795","0000",탄방로,"30170","3166052","02","0","00012","00000",,"795","59.7675","2025","1","3","15,800","9","2004","30170-148", , ,중개거래,대전 서구, , ,,개인,N
관저더샵,"30170","11600","1","1985","0000",관저서로,"30170","3166010","00","0","00019","00000",,"1985","59.977","2025","1","9","37,000","1","2018","30170-1150", , ,직거래, ,"25.01.10","101동",,개인,N
삼익목화,"30170","10100","1","0274","0001",복수중로,"30170","3166036","00","0","00038","00000",,"274-1","84.54","2025","1","7","22,000","12","1993","30170-2", , ,중개거래,대전 서구, , ,,개인,N
신성,"30170","11000","1","0027","0003",동서대로1014번길,"30170","4298289","00","0","00025","00000",,"27-3","55.43","2025","1","4","12,000","4","1979","30170-59", , ,중개거래,대전 서구, , ,,개인,N
리베라스위트빌Ⅱ,"30170","10600","1","0636","0000",문정로2번길,"30170","4298365","01","0","00033","00000",,"636","25.4225","2025","1","8","6,000","7","2004","30170-126", , ,중개거래,대전 서구, , ,,개인,N
주공2단지(은뜰아파트),"30170","11300","1","0218","0007",월평북로,"30170","3166041","00",,"00013","00000",,"218-7","41.85","2025","1","7","15,600","13","1993","30170-101", , ,중개거래,"대전 대덕구, 대전 서구", , ,,개인,N
구봉마을주공7,"30170","11600","1","1144","0000",관저로,"30170","3166008","01","0","00048","00000",,"1144","59.65","2025","1","6","17,700","8","1999","30170-112", , ,중개거래,대전 서구, , ,,개인,N
주공2단지(은뜰아파트),"30170","11300","1","0218","0007",월평북로,"30170","3166041","00",,"00013","00000",,"218-7","41.85","2025","1","8","14,000","12","1993","30170-101", , ,중개거래,대전 서구, , ,,개인,N
둥지,"30170","11200","1","0912","0000",청사로,"30170","3166051","01","0","00254","00000",,"912","84.885","2025","1","8","53,000","15","1994","30170-79", , ,중개거래,대전 서구, , ,,개인,N
관저어반힐스,"30170","11600","1","1593","0000",관저남로,"30170","3166053","00","0","00080","00000",,"1593","74.94","2025","1","8","42,200","14","2017","30170-1138", , ,중개거래,대전 서구, , ,,개인,N
초록마을5단지,"30170","10100","1","0576","0000",유등로17번길,"30170","4298540","01","0","00109","00000",,"576","76.609","2025","1","8","26,800","7","2005","30170-187", , ,중개거래,대전 서구, , ,,개인,N
경성큰마을,"30170","11100","1","1418","0000",대덕대로,"30170","2010001","03","0","00150","00000",,"1418","59.9","2025","1","3","24,000","1","1995","30170-61", , ,중개거래,대전 서구, , ,,개인,N
상아,"30170","12800","1","0001","0000",대덕대로,"30170","2010001","06","0","00415","00000",,"1","84.94","2025","1","4","46,000","7","1995","30170-122", , ,중개거래,대전 서구, , ,,개인,N
삼익목화2,"30170","10100","1","0280","0000",복수북로,"30170","3166034","01","0","00042","00000",,"280","84.89","2025","1","2","22,000","2","1998","30170-3", , ,중개거래,대전 서구, , ,,개인,N
오량마을마루미(그린채),"30170","10100","1","0270","0001",복수중로,"30170","3166036","01","0","00030","00000",,"270-1","84.9596","2025","1","4","33,500","11","2006","30170-1023", , ,중개거래,대전 서구, , ,,개인,N
늘푸른,"30170","10400","1","0641","0001",정림로,"30170","3166049","01","0","00011","00000",,"641-1","40.716","2025","1","7","10,100","5","1996","30170-27", , ,중개거래,대전 서구, , ,,개인,N
더빅토리아,"30170","11300","1","0025","0075",계룡로264번길,"30170","4298047","00","0","00089","00000",,"25-75","36.5072","2025","1","7","19,000","12","2021","30170-1201", , ,중개거래,대전 중구,"25.01.10", ,,법인,N
갈마,"30170","11100","1","0390","0022",신갈마로,"30170","3166037","02","0","00095","00000",,"390-22","84.68","2025","1","7","28,000","14","1994","30170-68", , ,직거래, , , ,,개인,N
맑은아침,"30170","11000","1","0002","0000",갈마로,"30170","3166004","03","0","00262","00000",,"2","67.9693","2025","1","6","32,300","14","2004","30170-151", , ,중개거래,대전 서구, , ,,개인,N
맑은아침,"30170","11000","1","0002","0000",갈마로,"30170","3166004","03","0","00262","00000",,"2","84.8879","2025","1","4","41,000","14","2004","30170-151", , ,중개거래,대전 서구, , ,,개인,N
관저리슈빌,"30170","11600","1","1420","0000",관저동로90번길,"30170","4298100","01","0","00015","00000",,"1420","99.0655","2025","1","6","43,000","1","2005","30170-1009", , ,중개거래,대전 서구,"25.01.08","102",,개인,N
녹원,"30170","11200","1","1204","0000",둔산남로,"30170","3166018","02","0","00030","00000",,"1204","84.6","2025","1","4","45,800","12","1994","30170-78", , ,중개거래,대전 서구, , ,,개인,N
엘드수목토,"30170","11500","1","1364","0000",도안동로,"30170","3166054","02","0","00177","00000",,"1364","84.9398","2025","1","6","50,900","10","2010","30170-1039", , ,중개거래,대전 서구, , ,,개인,N
경성큰마을,"30170","11100","1","1418","0000",대덕대로,"30170","2010001","03","0","00150","00000",,"1418","59.9","2025","1","6","25,400","1","1995","30170-61", , ,중개거래,대전 서구, , ,,개인,N
원앙마을4,"30170","11600","1","0999","0000",관저북로,"30170","3166009","01","0","00014","00000",,"999","39.65","2025","1","7","13,000","9","1997","30170-118", , ,중개거래,대전 서구,"25.01.07","404",,개인,N
금성백조예미지,"30170","11500","1","0965","0000",도안북로,"30170","3166057","01","0","00125","00000",,"965","84.8163","2025","1","3","55,000","19","2012","30170-1064", , ,직거래, ,"25.01.07","106",,개인,N
오벨리스크,"30170","11100","1","1436","0000",대덕대로168번길,"30170","4298167","01","0","00018","00000",,"1436","26.01","2025","1","3","4,100","6","2001","30170-72", , ,중개거래,대전 서구, , ,,개인,N
한라비발디,"30170","11500","1","0966","0000",도안북로,"30170","3166057","01","0","00136","00000",,"966","84.8679","2025","1","4","49,800","3","2011","30170-1049", , ,중개거래,대전 서구, , ,,개인,N
향촌,"30170","11200","1","0970","0000",둔산로,"30170","3166019","01","0","00015","00000",,"970","84.42","2025","1","4","41,800","9","1995","30170-88", , ,중개거래,대전 서구,"25.01.06","118",,개인,N
관저지구효성해링턴플레이스,"30170","11600","1","1595","0000",관저동로,"30170","3166007","02","0","00012","00000",,"1595","84.8694","2025","1","4","46,500","19","2016","30170-1114",O,"25.01.13",중개거래,대전 서구, , ,,개인,N
양지타운,"30170","10300","1","0359","0020",배재로,"30170","3166028","00","0","00107","00030",,"359-20","48.67","2025","1","2","7,800","5","1992","30170-18", , ,중개거래,대전 서구, , ,,개인,N
녹원,"30170","11200","1","1204","0000",둔산남로,"30170","3166018","02","0","00030","00000",,"1204","84.6","2025","1","4","45,800","12","1994","30170-78",O,"25.01.06",중개거래,대전 서구, , ,,개인,N
구봉마을9단지,"30170","11600","1","1154","0000",관저서로,"30170","3166010","01","0","00020","00000",,"1154","49.92","2025","1","2","14,500","11","2000","30170-111", , ,중개거래,대전 서구, , ,,개인,N
두운힐스,"30170","11200","1","1116","0000",대덕대로175번길,"30170","4298168","01","0","00040","00000",,"1116","42.36","2025","1","2","8,000","7","2003","30170-91", , ,중개거래,대전 서구,"25.01.07", ,,개인,N
탑스빌,"30170","11000","1","0017","0001",도산로253번길,"30170","4298234","01","0","00075","00000",,"17-1","40.5672","2025","1","2","10,000","5","2001","30170-152", , ,중개거래,대전 서구,"25.01.10", ,,개인,N
진잠타운,"30200","10100","1","0383","0000",진잠로42번길,"30200","4301423","01","0","00088","00000",,"383","39.84","2025","1","16","9,000","2","1995","30200-42", , ,직거래, , , ,,개인,N
청솔한양,"30200","14700","1","0008","0002",송강로42번길,"30200","4301224","01","0","00061","00000",,"8-2","40.36","2025","1","15","9,900","4","1996","30200-51", , ,중개거래,대전 유성구, , ,,개인,N
한울,"30200","12500","1","0160","0001",가정로,"30200","3167001","01","0","00043","00000",,"160-1","84.93","2025","1","11","28,000","14","1992","30200-24", , ,중개거래,대전 유성구, , ,,개인,N
대우푸르지오,"30200","14600","1","0665","0000",배울1로,"30200","3167028","03","0","00013","00000",,"665","84.9993","2025","1","10","35,000","14","2006","30200-489", , ,중개거래,대전 유성구, , ,,개인,N
어울림하트,"30200","11400","1","0529","0000",동서대로,"30200","2010003","03","0","00725","00000",,"529","84.49","2025","1","16","57,000","21","2011","30200-581", , ,중개거래,대전 유성구, , ,,개인,N
한화꿈에그린1차,"30200","14600","1","0664","0000",배울2로,"30200","3167029","02","0","00006","00000",,"664","84.93","2025","1","4","37,000","10","2006","30200-488", , ,중개거래,대전 유성구, , ,,개인,N
열매마을9단지(금성백조),"30200","11900","1","0521","0000",은구비남로,"30200","3167057","01","0","00056","00000",,"521","84.9761","2025","1","13","56,000","1","2002","30200-7", , ,중개거래,대전 유성구, , ,,개인,N
반석더샵,"30200","13900","1","0711","0000",반석로,"30200","3167026","00","0","00080","00000",,"711","98.5312","2025","1","6","70,000","3","2020","30200-716", , ,중개거래,대전 동구, , ,,개인,N
진잠타운,"30200","10100","1","0383","0000",진잠로42번길,"30200","4301423","01","0","00088","00000",,"383","49.5","2025","1","6","10,500","1","1995","30200-42", , ,중개거래,대전 유성구, , ,,개인,N
양우내안애레이크힐,"30200","11400","1","0485","0000",도안동로,"30200","3166054","02","0","00446","00000",,"485","70.8387","2025","1","4","48,400","15","2015","30200-663", , ,중개거래,대전 유성구, , ,,개인,N
열매마을8단지(계룡새미래),"30200","11900","1","0520","0001",은구비남로,"30200","3167057","01","0","00034","00000",,"520-1","129.772","2025","1","14","67,000","1","2001","30200-6", , ,중개거래,"대전 유성구, 세종", , ,,개인,N
럭키하나,"30200","12500","1","0153","0000",가정로,"30200","3167001","01","0","00063","00000",,"153","84.26","2025","1","10","25,000","1","1993","30200-23", , ,중개거래,대전 유성구, , ,,개인,N
유성둔곡지구A1BL서한이다음,"30200","15200","1","0430","0000",과학성장로,"30200","3352615","00","0","00077","00000",,"430","59.6595","2025","1","10","32,200","18","2022","30200-741", , ,직거래, , , ,,개인,N
신동아파밀리에,"30200","14600","1","0669","0000",배울2로,"30200","3167029","02","0","00042","00000",,"669","84.9622","2025","1","13","43,000","8","2006","30200-492", , ,중개거래,대전 유성구, , ,,개인,N
장대푸르지오,"30200","11700","1","0479","0000",장대로71번길,"30200","4301381","01","0","00034","00000",,"479","84.9129","2025","1","12","48,000","3","2006","30200-510", , ,중개거래,대전 유성구, , ,,개인,N
신동아파밀리에,"30200","14600","1","0669","0000",배울2로,"30200","3167029","02","0","00042","00000",,"669","84.9704","2025","1","9","43,000","6","2006","30200-492", , ,중개거래,대전 유성구, , ,,개인,N
송강그린,"30200","14700","1","0199","0000",구즉로,"30200","3167012","02","0","00025","00000",,"199","84.996","2025","1","7","19,000","7","1996","30200-30", , ,중개거래,대전 유성구, , ,,개인,N
중앙하이츠빌,"30200","14600","1","0668","0000",배울2로,"30200","3167029","02","0","00024","00000",,"668","84.9548","2025","1","8","41,000","2","2006","30200-490", , ,중개거래,대전 유성구, , ,,개인,N
월드컵패밀리타운,"30200","11700","1","0323","0002",유성대로783번길,"30200","4301360","01","0","00038","00000",,"323-2","84.9153","2025","1","14","39,000","13","2002","30200-3", , ,직거래, , , ,,개인,N
유성푸르지오시티,"30200","11100","1","0536","0005",온천로,"30200","3167045","01","0","00045","00000",,"536-5","17.43","2025","1","13","6,700","22","2014","30200-633", , ,중개거래,대전 유성구, , ,,개인,N
열매마을9단지(금성백조),"30200","11900","1","0521","0000",은구비남로,"30200","3167057","01","0","00056","00000",,"521","84.9761","2025","1","13","56,000","1","2002","30200-7",O,"25.01.15",중개거래,대전 유성구, , ,,개인,N
반석마을6단지(삼부르네상스2단지),"30200","13900","1","0613","0000",반석서로,"30200","3167027","02","0","00098","00000",,"613","84.9","2025","1","11","46,000","17","2005","30200-99", , ,중개거래,대전 유성구, , ,,개인,N
네오미아,"30200","11300","1","0524","0000",덕명로,"30200","3342038","02","0","00026","00000",,"524","134.42","2025","1","6","61,000","6","2010","30200-559", , ,중개거래,대전 유성구, , ,,개인,N
성원상떼빌,"30200","11700","1","0376","0002",온천서로,"30200","3167047","02","0","00036","00019",,"376-2","84.9806","2025","1","13","29,800","2","2004","30200-68", , ,중개거래,대전 유성구, , ,,개인,N
온천훼미리타운,"30200","11100","1","0441","0011",온천서로,"30200","3167047","01","0","00022","00009",,"441-11","75.51","2025","1","13","15,000","9","2005","30200-74", , ,중개거래,대전 유성구, , ,,개인,N
온천훼미리타운,"30200","11100","1","0441","0011",온천서로,"30200","3167047","01","0","00022","00009",,"441-11","53.8399","2025","1","11","9,500","3","2005","30200-74", , ,직거래, ,"25.01.13",유성온천훼미리타운,,개인,N
송강마을2,"30200","14700","1","0010","0003",봉산로,"30200","3167031","02","0","00039","00000",,"10-3","49.5","2025","1","13","10,900","1","1994","30200-31", , ,중개거래,대전 유성구, , ,,개인,N
죽동대원칸타빌,"30200","12100","1","0683","0000",죽동로,"30200","3350374","00","0","00039","00000",,"683","84.937","2025","1","11","66,500","6","2017","30200-681", , ,중개거래,대전 유성구, , ,,개인,N
죽동대원칸타빌,"30200","12100","1","0683","0000",죽동로,"30200","3350374","00","0","00039","00000",,"683","84.937","2025","1","9","66,500","18","2017","30200-681", , ,중개거래,대전 유성구, , ,,개인,N
죽동대원칸타빌,"30200","12100","1","0683","0000",죽동로,"30200","3350374","00","0","00039","00000",,"683","74.883","2025","1","6","57,000","18","2017","30200-681", , ,중개거래,대전 유성구, , ,,개인,N
죽동대원칸타빌,"30200","12100","1","0683","0000",죽동로,"30200","3350374","00","0","00039","00000",,"683","74.704","2025","1","4","56,000","14","2017","30200-681", , ,중개거래,대전 유성구, , ,,개인,N
노은새미래숲2단지,"30200","12000","1","1042","0000",지족로190번길,"30200","4301485","01","0","00016","00000",,"1042","59.98","2025","1","11","28,000","6","2015","30200-661", , ,중개거래,대전 유성구, , ,,개인,N
대전용산1BL호반써밋그랜드파크,"30200","14400","1","0733","0000",용성로,"30200","3353977","00","0","00020","00000",,"733","84.9769","2025","1","11","67,700","9","2023","30200-753", , ,중개거래,대전 유성구, , ,,개인,N
엑스포,"30200","14100","1","0464","0001",엑스포로,"30200","3167043","03","0","00448","00000",,"464-1","133.11","2025","1","4","52,500","8","1994","30200-21", , ,중개거래,대전 유성구, , ,,개인,N
중앙하이츠빌,"30200","14600","1","0668","0000",배울2로,"30200","3167029","02","0","00024","00000",,"668","84.9548","2025","1","11","42,700","13","2006","30200-490", , ,중개거래,대전 유성구, , ,,개인,N
반석더샵,"30200","13900","1","0711","0000",반석로,"30200","3167026","00","0","00080","00000",,"711","84.9884","2025","1","11","58,300","13","2020","30200-716", , ,중개거래,대전 유성구, , ,,개인,N
열매마을6단지(현대2차),"30200","12000","1","0880","0000",노은동로,"30200","3167014","02","0","00187","00000",,"880","84.984","2025","1","9","48,500","8","2000","30200-13", , ,중개거래,대전 유성구, , ,,개인,N
반석더샵,"30200","13900","1","0711","0000",반석로,"30200","3167026","00","0","00080","00000",,"711","73.9871","2025","1","10","52,000","20","2020","30200-716", , ,중개거래,대전 유성구, , ,,개인,N
미메이드,"30200","10200","1","0616","0000",진잠로149번길,"30200","4301420","01","0","00030","00000",,"616","84.7032","2025","1","10","39,500","20","2006","30200-507", , ,중개거래,대전 유성구, , ,,개인,N
반석더샵,"30200","13900","1","0711","0000",반석로,"30200","3167026","00","0","00080","00000",,"711","73.9752","2025","1","10","40,000","12","2020","30200-716", , ,중개거래,대전 유성구, , ,,개인,N
계룡리슈빌(학의뜰),"30200","10600","1","0749","0000",학하로,"30200","3342039","02","0","00033","00000",,"749","84.9995","2025","1","1","39,000","3","2011","30200-577", , ,중개거래,대전 유성구, , ,,개인,N
한울,"30200","12500","1","0160","0001",가정로,"30200","3167001","01","0","00043","00000",,"160-1","84.93","2025","1","8","22,700","2","1992","30200-24", , ,직거래, , , ,,개인,N
엑스포,"30200","14100","1","0464","0001",엑스포로,"30200","3167043","03","0","00448","00000",,"464-1","84.173","2025","1","8","35,200","3","1994","30200-21", , ,중개거래,대전 유성구, , ,,개인,N
나래,"30200","14100","1","0462","0004",엑스포로,"30200","3167043","03","0","00501","00000",,"462-4","84.87","2025","1","9","28,000","7","1994","30200-18", , ,직거래, ,"25.01.09","103",,개인,N
송림마을2단지(우미이노스빌1차),"30200","13200","1","0516","0000",송림로,"30200","3167037","01","0","00020","00000",,"516","84.9055","2025","1","6","46,000","11","2004","30200-65", , ,중개거래,대전 유성구, , ,,개인,N
반석마을6단지(삼부르네상스2단지),"30200","13900","1","0613","0000",반석서로,"30200","3167027","02","0","00098","00000",,"613","84.9","2025","1","3","40,000","11","2005","30200-99", , ,직거래, , , ,,개인,N
대우푸르지오,"30200","14600","1","0665","0000",배울1로,"30200","3167028","03","0","00013","00000",,"665","84.9993","2025","1","3","33,000","19","2006","30200-489", , ,중개거래,"대전 대덕구, 대전 유성구", , ,,개인,N
한마을,"30200","14700","1","0200","0004",구즉로,"30200","3167012","02","0","00016","00000",,"200-4","84.88","2025","1","4","28,000","5","1999","30200-33", , ,중개거래,대전 유성구, , ,,개인,N
죽동대원칸타빌,"30200","12100","1","0683","0000",죽동로,"30200","3350374","00","0","00039","00000",,"683","84.976","2025","1","8","64,500","5","2017","30200-681",O,"25.01.09",중개거래,대전 유성구, , ,,개인,N
한화꿈에그린1차,"30200","14600","1","0664","0000",배울2로,"30200","3167029","02","0","00006","00000",,"664","84.93","2025","1","4","37,000","10","2006","30200-488",O,"25.01.15",중개거래,대전 유성구, , ,,개인,N
청솔뉴서울,"30200","14700","1","0008","0002",송강로42번길,"30200","4301224","01","0","00061","00000",,"8-2","84.44","2025","1","7","20,500","11","1995","30200-49", , ,중개거래,대전 유성구, , ,,개인,N
대전노은4지구한화꿈에그린2블록,"30200","12000","1","1093","0000",지족북로,"30200","3167104","01","0","00060","00000",,"1093","84.783","2025","1","4","50,000","20","2014","30200-619", , ,중개거래,대전 유성구, , ,,개인,N
한빛,"30200","12300","1","0099","0000",어은로,"30200","3167042","01","0","00057","00000",,"99","84.93","2025","1","8","36,000","4","1992","30200-52", , ,중개거래,대전 유성구, , ,,개인,N
한화꿈에그린3차,"30200","14600","1","1280","0000",배울2로,"30200","3167029","02","0","00061","00000",,"1280","84.901","2025","1","7","60,500","10","2008","30200-540", , ,중개거래,대전 유성구, , ,,개인,N
노은해랑숲마을5단지,"30200","12000","1","1033","0000",지족로,"30200","3167064","01","0","00240","00000",,"1033","84.95","2025","1","4","38,500","13","2014","30200-628", , ,중개거래,"대전 유성구, 세종", , ,,개인,N
