"apt_nm","sgg_cd","umd_cd","land_cd","bonbun","bubun","road_nm","road_nm_sgg_cd","road_nm_cd","road_nm_seq","road_nmb_cd","road_nm_bonbun","road_nm_bubun","umd_nm","jibun","exclu_use_ar","deal_year","deal_month","deal_day","deal_amount","floor","build_year","apt_seq","cdeal_type","cdeal_day","dealing_gbn","estate_agent_sgg_nm","rgst_date","apt_dong","sler_gbn","buyer_gbn","land_leasehold_gbn"
백목련,"30170","10400","1","0642","0000",정림서로138번길,"30170","4298567","01","0","00021","00000",,"642","49.14","2024","11","28","10,000","1","1992","30170-23", , ,직거래, ,"24.12.03","104",,개인,N
수정타운,"30170","11200","1","0909","0000",청사로,"30170","3166051","01","0","00282","00000",,"909","71.7","2024","11","16","30,000","4","1993","30170-81", , ,중개거래,대전 서구,"25.01.06","2",,개인,N
한마루아파트,"30170","11200","1","1388","0000",둔산북로,"30170","3166020","01","0","00160","00000",,"1388","76.22","2024","11","30","62,700","5","1992","30170-87", , ,중개거래,대전 서구,"25.01.10","110",,개인,N
보라2차,"30170","11200","1","1812","0000",둔산로,"30170","3166019","01","0","00241","00000",,"1812","41.82","2024","11","7","16,500","9","1991","30170-49", , ,중개거래,대전 서구, , ,,개인,N
복수센트럴자이,"30170","10100","1","1004","0000",복수서로,"30170","3166035","01","0","00015","00000",,"1004","84.9986","2024","11","21","50,200","8","2019","30170-1174", , ,중개거래,대전 서구,"25.01.07","101",,개인,N
국화라이프,"30170","11200","1","1809","0000",둔산로,"30170","3166019","01","0","00201","00000",,"1809","77.3","2024","11","19","33,900","2","1992","30170-45", , ,중개거래,대전 서구,"24.12.19","201",,개인,N
원앙마을4,"30170","11600","1","0999","0000",관저북로,"30170","3166009","01","0","00014","00000",,"999","49.59","2024","11","12","14,000","16","1997","30170-118", , ,중개거래,대전 서구,"24.12.12","412",,개인,N
향촌,"30170","11200","1","0970","0000",둔산로,"30170","3166019","01","0","00015","00000",,"970","62.1","2024","11","27","26,000","15","1995","30170-88", , ,중개거래,대전 서구, , ,,개인,N
대자연마을,"30170","11600","1","0990","0000",관저북로,"30170","3166009","01","0","00052","00000",,"990","92.78","2024","11","19","42,000","22","1998","30170-114", , ,중개거래,대전 서구,"25.01.08","102",,개인,N
크로바,"30170","11200","1","1509","0000",둔산로,"30170","3166019","01","0","00155","00000",,"1509","134.91","2024","11","21","166,000","12","1992","30170-85", , ,중개거래,대전 서구,"24.12.27","119",,개인,N
나이스팰리스,"30170","10800","1","0423","0006",도솔로388번길,"30170","4298272","00","0","00052","00000",,"423-6","27.035","2024","11","26","11,100","13","2019","30170-1164", , ,중개거래,대전 서구, , ,,개인,N
양지타운,"30170","10300","1","0359","0020",배재로91번길,"30170","4298392","00","0","00038","00022",,"359-20","83.71","2024","11","26","16,500","9","1992","30170-18", , ,중개거래,대전 서구,"25.01.09","1",,개인,N
크로바,"30170","11200","1","1509","0000",둔산로,"30170","3166019","01","0","00155","00000",,"1509","114.63","2024","11","11","148,000","10","1992","30170-85", , ,중개거래,대전 서구, , ,,개인,N
상록수,"30170","12800","1","0281","0000",만년남로,"30170","3166024","01","0","00008","00000",,"281","59.88","2024","11","13","24,400","15","1995","30170-121", , ,중개거래,대전 서구,"25.01.07","106",,개인,N
샘머리1차,"30170","11200","1","0907","0000",문예로,"30170","3166026","02","0","00174","00000",,"907","59.802","2024","11","26","34,000","9","1998","30170-76", , ,중개거래,대전 서구, , ,,개인,N
코오롱,"30170","11000","1","0151","0000",동서대로,"30170","2010003","03","0","00967","00000",,"151","84.99","2024","11","4","22,000","4","1990","30170-60", , ,중개거래,대전 대덕구,"24.12.10","1",,개인,N
구봉마을주공7,"30170","11600","1","1144","0000",관저로,"30170","3166008","01","0","00048","00000",,"1144","49.63","2024","11","16","15,500","23","1999","30170-112", , ,직거래, ,"24.12.02","708",,개인,N
샘머리1차,"30170","11200","1","0907","0000",문예로,"30170","3166026","02","0","00174","00000",,"907","84.945","2024","11","30","49,500","12","1998","30170-76", , ,중개거래,대전 서구, , ,,개인,N
주공2단지(은뜰아파트),"30170","11300","1","0218","0007",월평북로,"30170","3166041","00",,"00013","00000",,"218-7","49.77","2024","11","27","19,000","15","1993","30170-101", , ,중개거래,대전 서구, , ,,법인,N
